TransactionAmount,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,anomaly_score,is_fraud,TransactionAmountBin,TransactionHour,TransactionDay,TransactionWeekday,TimeSinceLastTransaction,anomaly
14.09,1,36,365,186,14,0,70,0,81,1,5112.21,1,0,0,16,11,1,-13743.648333333333,0
376.24,1,15,50,82,51,0,68,0,141,1,13758.91,1,0,2,16,27,1,-11895.42111111111,0
126.29,1,23,229,343,8,2,19,3,56,1,1122.35,1,0,1,18,10,0,-11581.84888888889,0
184.5,1,33,182,300,1,2,26,3,25,1,8569.06,1,0,1,16,5,4,-13167.615277777777,0
13.45,0,1,298,501,90,2,26,3,198,1,7429.4,1,0,0,17,16,0,-9230.254166666668,0
92.15,1,28,562,60,53,0,18,3,172,1,781.68,1,0,1,17,3,0,-13934.859722222222,0
7.08,0,39,235,112,18,0,37,0,139,1,13316.71,1,0,0,16,15,2,-15063.555833333334,0
171.42,0,16,483,571,19,1,67,2,291,1,2796.24,1,0,1,17,8,0,-13094.382222222222,0
106.23,0,11,670,370,34,1,51,1,86,1,9095.14,1,0,1,16,21,1,-14247.191111111111,0
815.96,1,26,194,393,6,0,55,0,120,1,1021.88,1,0,3,16,31,4,-14007.993055555555,0
17.78,0,0,200,337,72,2,52,1,59,1,7599.52,1,0,0,16,14,1,-14415.343055555555,0
190.02,1,22,572,56,29,2,21,3,173,1,1528.81,1,0,1,17,6,0,-15278.62,0
494.52,0,23,31,332,56,1,24,3,111,1,1620.02,1,0,3,17,7,2,-12374.78611111111,0
781.76,1,22,53,277,24,0,26,3,123,1,189.69,1,0,3,16,20,0,-8391.464166666667,0
166.99,1,21,299,251,16,2,18,3,134,1,299.93,1,0,1,16,13,0,-15111.27,0
465.45,1,10,451,361,24,0,36,1,129,1,3465.54,1,0,3,16,12,1,-7863.8133333333335,0
555.8,0,2,651,464,47,1,19,3,158,1,1131.26,1,0,3,16,30,0,-8895.246111111112,0
492.93,1,8,417,49,58,2,39,1,234,1,5109.97,1,0,3,18,14,3,-7813.660277777778,0
18.68,0,0,513,579,53,1,59,2,106,1,7948.37,1,0,0,16,21,1,-14919.253055555555,0
71.48,0,8,38,70,38,2,18,3,169,1,6568.59,1,0,0,18,8,3,-12349.841666666667,0
59.32,1,20,150,59,39,1,71,2,38,1,5750.89,1,0,0,16,28,1,-14751.540555555555,0
85.77,1,19,260,478,64,1,38,0,93,1,9146.19,1,0,1,18,11,4,-10813.611666666666,0
52.2,1,1,140,91,21,2,39,1,120,1,8974.93,1,0,0,18,6,1,-12397.212777777779,0
345.84,1,13,158,268,82,2,22,3,142,3,1402.5,1,0,2,18,2,1,-13237.688333333334,0
145.54,1,33,35,63,27,2,21,3,96,1,1930.96,1,0,1,16,2,3,-14703.386944444444,0
7.49,0,15,651,543,42,2,65,2,276,1,3634.67,1,0,0,17,20,4,-9134.275277777779,0
246.93,1,24,45,467,28,0,23,3,158,5,673.35,1,0,2,16,17,0,-13599.576944444445,0
40.32,1,25,300,327,7,1,37,1,95,1,2686.52,1,0,0,16,29,2,-14055.489166666666,0
127.45,1,19,226,151,91,2,44,0,197,1,1772.06,1,0,1,16,24,1,-15591.880555555555,0
56.17,1,11,288,397,42,1,27,3,283,1,1351.69,1,0,0,16,20,2,-9855.213333333333,0
28.31,0,24,570,404,90,2,59,0,20,1,8334.47,1,0,0,17,17,0,-11414.331944444444,0
59.12,1,3,274,248,52,0,29,0,257,1,9823.64,1,0,0,16,6,0,-15279.709444444445,0
396.45,1,27,601,92,6,0,49,1,168,3,9690.15,1,0,2,16,25,0,-9735.753611111111,0
877.81,1,20,109,93,93,2,22,3,150,1,399.0,1,0,3,17,13,0,-14438.740555555556,0
255.26,0,37,345,571,1,1,45,0,50,1,14815.87,1,0,2,16,27,4,-8967.467222222222,0
124.76,1,39,41,479,1,1,49,1,45,1,5764.72,1,0,1,16,16,0,-9231.5575,0
78.13,1,25,244,397,27,1,26,3,145,1,900.61,1,0,0,16,21,1,-8367.226111111111,0
649.28,1,38,433,517,73,0,75,2,137,1,4875.86,1,0,3,17,2,3,-14702.295277777777,0
795.31,1,23,76,450,47,0,66,0,90,2,7914.88,1,0,3,17,12,3,-9327.060277777779,0
335.63,1,28,37,449,39,2,55,2,216,1,1019.39,1,0,2,17,24,1,-15590.836666666666,0
328.47,1,35,540,482,13,0,63,2,119,1,4323.66,1,0,2,18,31,0,-11077.461388888889,0
34.02,1,30,607,25,45,2,38,0,19,1,14214.48,1,0,0,16,9,0,-15951.973333333333,0
241.42,0,5,193,488,43,2,57,0,116,1,13357.02,1,0,2,18,20,3,-13525.18888888889,0
55.32,1,40,192,219,8,0,19,3,117,1,241.79,1,0,0,16,12,2,-13720.073888888888,0
304.31,1,21,665,523,4,1,27,3,33,1,868.61,1,0,2,16,26,2,-11199.290277777778,0
435.27,1,6,288,286,50,1,74,2,90,1,4673.28,1,0,3,17,4,2,-9518.361944444445,0
164.49,1,3,101,43,69,1,26,3,75,1,1509.27,1,0,1,16,13,2,-7840.148611111111,0
510.24,1,28,382,245,89,2,19,3,105,1,781.7,1,0,3,16,9,0,-9399.698611111111,0
626.9,1,10,276,574,22,2,26,3,138,1,265.51,1,0,3,16,27,0,-8223.3575,0
22.01,0,34,294,76,54,2,41,1,175,1,1335.09,1,0,0,16,27,0,-14103.353611111112,0
425.34,0,18,641,109,39,2,69,2,121,1,3907.54,1,0,3,16,13,0,-15111.124444444444,0
424.56,1,29,580,231,14,2,51,1,264,1,5183.85,1,0,3,17,21,1,-14918.385277777777,0
85.43,1,41,229,278,77,1,67,0,145,1,14904.9,1,0,1,16,7,2,-12375.353055555555,0
169.5,1,36,427,428,35,1,28,3,142,1,918.88,1,0,1,16,7,3,-10167.291944444445,0
104.63,1,29,622,245,94,0,62,2,90,1,4477.78,1,0,1,17,29,2,-14054.390555555556,0
316.95,1,23,12,540,51,1,25,3,83,1,1324.03,1,0,2,17,4,4,-10982.259722222223,0
60.54,0,8,447,0,94,1,57,2,52,1,3534.93,1,0,0,17,14,3,-7814.288888888889,0
292.56,0,9,301,293,74,1,68,2,61,1,4638.37,1,0,2,17,3,4,-14678.502222222221,0
386.52,1,16,143,246,63,1,48,1,28,1,5630.61,1,0,2,16,9,4,-12327.815,0
112.07,1,18,87,290,63,1,23,3,51,1,930.3,1,0,1,16,2,0,-9567.604166666666,0
568.52,1,16,227,376,93,0,46,1,152,1,5499.91,1,0,3,18,6,4,-9469.363333333333,0
263.99,1,9,277,511,86,1,79,2,227,2,4175.02,1,0,2,16,16,1,-12904.059166666666,0
349.64,1,19,499,566,96,2,48,1,226,1,6651.62,1,0,2,16,7,1,-8703.329444444444,0
601.4,0,30,531,77,0,1,56,1,104,1,8458.29,1,0,3,17,30,1,-12566.41,0
5.77,1,5,446,156,70,2,50,0,124,1,13988.12,1,0,0,16,2,3,-8824.164444444445,0
201.33,0,26,96,126,2,1,42,1,186,1,2585.07,1,0,1,17,29,2,-14055.18611111111,0
298.42,1,16,420,571,4,1,56,2,225,1,3014.75,1,0,2,16,25,1,-13407.98,0
