TransactionAmount,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionAmountBin,TransactionHour,TransactionDay,TransactionWeekday,TimeSinceLastTransaction,anomaly
14.09,1,36,365,186,14,0,70,0,81,1,5112.21,0,0,1,3,1.6083333333333332e-10,0
376.24,1,15,50,82,51,0,68,0,141,1,13758.91,2,0,1,3,2.7777777777777777e-10,0
126.29,1,23,229,343,8,2,19,3,56,1,1122.35,1,0,1,3,3.4305555555555554e-10,0
184.5,1,33,182,300,1,2,26,3,25,1,8569.06,1,0,1,3,1.8333333333333335e-10,0
13.45,0,1,298,501,90,2,26,3,198,1,7429.4,0,0,1,3,5.397222222222222e-10,1
92.15,1,28,562,60,53,0,18,3,172,1,781.68,1,0,1,3,1.738888888888889e-10,0
7.08,0,39,235,112,18,0,37,0,139,1,13316.71,0,0,1,3,2.3055555555555556e-11,0
171.42,0,16,483,571,19,1,67,2,291,1,2796.24,1,0,1,3,1.5861111111111112e-10,0
106.23,0,11,670,370,34,1,51,1,86,1,9095.14,1,0,1,3,7.527777777777777e-11,0
815.96,1,26,194,393,6,0,55,0,120,1,1021.88,3,0,1,3,1.6805555555555555e-10,0
17.78,0,0,200,337,72,2,52,1,59,1,7599.52,0,0,1,3,1.3833333333333335e-10,0
190.02,1,22,572,56,29,2,21,3,173,1,1528.81,1,0,1,3,5.222222222222222e-11,0
494.52,0,23,31,332,56,1,24,3,111,1,1620.02,3,0,1,3,2.5333333333333334e-10,0
781.76,1,22,53,277,24,0,26,3,123,1,189.69,3,0,1,3,5.983333333333333e-10,0
166.99,1,21,299,251,16,2,18,3,134,1,299.93,1,0,1,3,1.6666666666666664e-11,0
465.45,1,10,451,361,24,0,36,1,129,1,3465.54,3,0,1,3,5.625000000000001e-10,0
555.8,0,2,651,464,47,1,19,3,158,1,1131.26,3,0,1,3,5.505555555555555e-10,0
492.93,1,8,417,49,58,2,39,1,234,1,5109.97,3,0,1,3,5.738888888888889e-10,0
18.68,0,0,513,579,53,1,59,2,106,1,7948.37,0,0,1,3,5.277777777777778e-12,0
71.48,0,8,38,70,38,2,18,3,169,1,6568.59,0,0,1,3,2.4555555555555557e-10,0
59.32,1,20,150,59,39,1,71,2,38,1,5750.89,0,0,1,3,6.527777777777778e-11,0
85.77,1,19,260,478,64,1,38,0,93,1,9146.19,1,0,1,3,3.847222222222222e-10,0
52.2,1,1,140,91,21,2,39,1,120,1,8974.93,0,0,1,3,2.7805555555555556e-10,0
345.84,1,13,158,268,82,2,22,3,142,3,1402.5,2,0,1,3,2.1277777777777776e-10,0
145.54,1,33,35,63,27,2,21,3,96,1,1930.96,1,0,1,3,1.0916666666666666e-10,0
7.49,0,15,651,543,42,2,65,2,276,1,3634.67,0,0,1,3,4.994444444444444e-10,0
246.93,1,24,45,467,28,0,23,3,158,5,673.35,2,0,1,3,1.1027777777777779e-10,0
40.32,1,25,300,327,7,1,37,1,95,1,2686.52,0,0,1,3,7.5e-11,0
127.45,1,19,226,151,91,2,44,0,197,1,1772.06,1,0,1,3,-3.777777777777778e-11,0
56.17,1,11,288,397,42,1,27,3,283,1,1351.69,0,0,1,3,4.5694444444444443e-10,0
28.31,0,24,570,404,90,2,59,0,20,1,8334.47,0,0,1,3,3.1555555555555553e-10,0
59.12,1,3,274,248,52,0,29,0,257,1,9823.64,0,0,1,3,5.3055555555555555e-11,0
396.45,1,27,601,92,6,0,49,1,168,3,9690.15,2,0,1,3,4.202777777777778e-10,0
877.81,1,20,109,93,93,2,22,3,150,1,399.0,3,0,1,3,1.1722222222222221e-10,0
255.26,0,37,345,571,1,1,45,0,50,1,14815.87,2,0,1,3,4.927777777777778e-10,0
124.76,1,39,41,479,1,1,49,1,45,1,5764.72,1,0,1,3,5.4e-10,0
78.13,1,25,244,397,27,1,26,3,145,1,900.61,0,0,1,3,5.166666666666666e-10,0
649.28,1,38,433,517,73,0,75,2,137,1,4875.86,3,0,1,3,4.194444444444444e-11,0
795.31,1,23,76,450,47,0,66,0,90,2,7914.88,3,0,1,3,4.530555555555555e-10,0
335.63,1,28,37,449,39,2,55,2,216,1,1019.39,2,0,1,3,2.611111111111111e-11,0
328.47,1,35,540,482,13,0,63,2,119,1,4323.66,2,0,1,3,3.7222222222222226e-10,0
34.02,1,30,607,25,45,2,38,0,19,1,14214.48,0,0,1,3,-7.444444444444445e-11,0
241.42,0,5,193,488,43,2,57,0,116,1,13357.02,2,0,1,3,1.6083333333333332e-10,0
55.32,1,40,192,219,8,0,19,3,117,1,241.79,0,0,1,3,1.6333333333333334e-10,0
304.31,1,21,665,523,4,1,27,3,33,1,868.61,2,0,1,3,3.230555555555555e-10,0
435.27,1,6,288,286,50,1,74,2,90,1,4673.28,3,0,1,3,4.405555555555555e-10,0
164.49,1,3,101,43,69,1,26,3,75,1,1509.27,1,0,1,3,5.930555555555556e-10,0
510.24,1,28,382,245,89,2,19,3,105,1,781.7,3,0,1,3,4.383333333333333e-10,0
626.9,1,10,276,574,22,2,26,3,138,1,265.51,3,0,1,3,6.1e-10,0
22.01,0,34,294,76,54,2,41,1,175,1,1335.09,0,0,1,3,1.5944444444444445e-10,0
425.34,0,18,641,109,39,2,69,2,121,1,3907.54,3,0,1,3,6.75e-11,0
424.56,1,29,580,231,14,2,51,1,264,1,5183.85,3,0,1,3,5.527777777777778e-11,0
85.43,1,41,229,278,77,1,67,0,145,1,14904.9,1,0,1,3,2.8361111111111113e-10,0
169.5,1,36,427,428,35,1,28,3,142,1,918.88,1,0,1,3,4.2472222222222224e-10,0
104.63,1,29,622,245,94,0,62,2,90,1,4477.78,1,0,1,3,9.694444444444445e-11,0
316.95,1,23,12,540,51,1,25,3,83,1,1324.03,2,0,1,3,3.497222222222222e-10,0
60.54,0,8,447,0,94,1,57,2,52,1,3534.93,0,0,1,3,6.050000000000001e-10,0
292.56,0,9,301,293,74,1,68,2,61,1,4638.37,2,0,1,3,1.0083333333333333e-10,0
386.52,1,16,143,246,63,1,48,1,28,1,5630.61,2,0,1,3,2.8305555555555554e-10,0
112.07,1,18,87,290,63,1,23,3,51,1,930.3,1,0,1,3,4.275e-10,0
568.52,1,16,227,376,93,0,46,1,152,1,5499.91,3,0,1,3,5.227777777777778e-10,0
263.99,1,9,277,511,86,1,79,2,227,2,4175.02,2,0,1,3,1.7e-10,0
349.64,1,19,499,566,96,2,48,1,226,1,6651.62,2,0,1,3,5.580555555555556e-10,0
601.4,0,30,531,77,0,1,56,1,104,1,8458.29,3,0,1,3,2.488888888888889e-10,0
5.77,1,5,446,156,70,2,50,0,124,1,13988.12,0,0,1,3,4.925e-10,0
201.33,0,26,96,126,2,1,42,1,186,1,2585.07,1,0,1,3,8.027777777777778e-11,0
298.42,1,16,420,571,4,1,56,2,225,1,3014.75,2,0,1,3,1.477777777777778e-10,0
521.06,1,0,295,88,62,1,25,3,128,1,1951.42,3,0,1,3,1.0527777777777778e-10,0
117.28,0,2,126,440,56,2,60,1,16,1,3665.77,1,0,1,3,5.944444444444445e-11,0
189.12,0,16,664,78,39,1,32,1,103,1,977.01,1,0,1,3,5.577777777777778e-10,0
133.55,1,1,196,422,90,0,44,1,220,1,3846.28,1,0,1,3,2.997222222222222e-10,0
143.21,1,9,395,501,65,2,35,1,135,1,6374.82,1,0,1,3,-2.5277777777777776e-11,0
24.77,1,4,176,566,69,0,62,2,55,1,5866.01,0,0,1,3,2.458333333333333e-10,0
233.92,0,17,286,150,45,2,26,3,280,1,6537.62,2,0,1,3,5.15e-10,0
1212.51,1,16,225,277,35,1,20,3,24,1,605.95,3,0,1,3,5.113888888888889e-10,0
232.12,1,29,72,160,65,0,37,1,51,1,6689.87,2,0,1,3,6.427777777777778e-10,0
162.63,1,18,69,484,59,2,22,3,113,1,634.17,1,0,1,3,2.6861111111111113e-10,0
91.53,1,25,351,582,94,1,44,0,69,1,14676.05,1,0,1,3,5.277777777777778e-11,0
120.29,1,24,544,186,44,1,19,3,77,1,1362.39,1,0,1,3,6.638888888888889e-10,0
174.25,1,39,360,87,31,2,50,0,67,1,10528.34,1,0,1,3,2.9611111111111114e-10,0
183.71,1,10,471,556,73,0,38,1,102,1,552.52,1,0,1,3,2.580555555555556e-10,0
345.39,0,31,95,88,80,2,58,1,80,1,6451.96,2,0,1,3,5.272222222222222e-10,0
922.55,1,11,201,328,3,0,63,2,87,1,4715.84,3,0,1,3,-3.777777777777778e-11,0
